total_points,correct_decisions,total_decisions,accuracy,risk_score,awareness_score,decisions_last_7_days,failed_category,risk_level
414,40,61,65.57377049180327,35.15682911068828,63.39296464772403,13,password,1
200,18,24,75.0,28.605726193330085,64.6389419223195,16,phishing,1
796,75,81,92.5925925925926,8.359956407330806,81.89219399218437,8,social_engineering,0
88,8,70,11.428571428571429,80.16272982618703,21.032383846580608,16,wifi,2
68,6,30,20.0,74.61265526527015,25.93533717718339,7,phishing,2
279,27,92,29.347826086956523,61.15310117352021,43.23397127386296,1,password,2
795,77,96,80.20833333333334,40.9096993425547,66.89546171780134,12,password,1
550,51,84,60.71428571428571,29.11381204048015,62.474319652380444,2,phishing,1
854,82,84,97.61904761904762,18.4483163494833,86.18161345732395,15,phishing,0
174,15,97,15.463917525773196,72.81311256282079,20.935126319130852,5,password,2
65,4,33,12.121212121212121,83.11461605301005,24.048925010133225,18,social_engineering,2
30,2,12,16.666666666666664,79.19921391741238,27.182056359820727,6,password,2
147,11,31,35.483870967741936,52.60365845147357,48.212216648237316,9,password,2
241,24,62,38.70967741935484,70.66922824789985,33.535627724566375,8,phishing,2
36,3,11,27.27272727272727,72.38662745780982,23.900374805865145,1,social_engineering,2
857,84,97,86.5979381443299,15.658231120617538,83.76512685803876,14,password,0
376,35,39,89.74358974358975,23.070127819209436,83.362610135,4,password,0
253,22,47,46.808510638297875,56.25528210162986,42.93002184183442,3,wifi,1
106,8,11,72.72727272727273,37.385759744910914,59.77020556159792,3,phishing,1
396,38,73,52.054794520547944,56.52724833663903,43.35700060836697,3,wifi,1
562,52,69,75.36231884057972,28.391312482998224,78.17367256574614,17,wifi,0
133,9,30,30.0,68.8668144530426,27.83734649437486,3,password,2
403,38,42,90.47619047619048,14.626848239452071,78.8483836232628,16,phishing,0
154,13,85,15.294117647058824,87.47185824442879,16.76842216218682,11,social_engineering,2
46,4,67,5.970149253731343,94.64351873453782,11.87604551962382,16,password,2
25,2,31,6.451612903225806,85.46298239296814,6.549767177502512,9,social_engineering,2
883,86,98,87.75510204081633,14.212204804300427,80.58527745081847,0,social_engineering,0
312,28,58,48.275862068965516,52.866498868203166,39.97294092701671,17,phishing,2
218,17,68,25.0,60.9516980751961,36.00713015644723,17,wifi,2
488,46,51,90.19607843137256,22.175915194801544,76.83110438330671,13,phishing,0
122,8,69,11.594202898550725,84.90092612833534,20.075600610930792,14,social_engineering,2
751,73,89,82.02247191011236,19.803392418314424,83.21955927931906,11,password,0
135,11,24,45.83333333333333,52.73435730195808,49.684214047610546,3,social_engineering,1
187,16,71,22.535211267605636,68.36017418708188,28.687324745111212,2,password,2
109,6,71,8.450704225352112,93.58171261910599,13.247238442589202,19,password,2
470,45,56,80.35714285714286,28.479990801085037,70.94575254687825,11,phishing,0
168,12,71,16.901408450704224,82.67123289577592,26.91086586452718,6,social_engineering,2
396,39,60,65.0,30.800055541491382,71.88278722442335,10,wifi,1
426,41,64,64.0625,28.038511034302488,64.48678379698757,0,social_engineering,1
99,8,73,10.95890410958904,83.60075960643695,19.922791635071732,5,social_engineering,2
50,1,12,8.333333333333332,75.2224034371824,21.27967687145159,2,wifi,2
308,26,60,43.333333333333336,59.75576502138092,43.97077891234103,10,phishing,2
29,1,16,6.25,85.1899761112324,6.202846852015704,1,social_engineering,2
61,4,30,13.333333333333334,71.58502575929433,21.912602984224865,13,social_engineering,2
307,28,82,34.146341463414636,60.64516631727641,46.46957886083931,1,password,2
399,36,48,75.0,31.037532293317106,63.50605884715319,3,social_engineering,1
98,5,27,18.51851851851852,78.12590987363068,28.61491263122813,16,wifi,2
26,2,13,15.384615384615385,79.25915568821476,16.326366080873438,2,password,2
70,7,98,7.142857142857142,86.42679879742681,16.43083940374734,12,phishing,2
671,64,69,92.7536231884058,27.746583926537582,76.13642754365904,8,password,0
222,21,23,91.30434782608695,18.202198076867795,82.05089698603327,6,wifi,0
189,16,18,88.88888888888889,9.871835844918582,86.23437768901604,14,wifi,0
722,70,99,70.70707070707071,30.735800476985705,63.51708705043622,10,password,1
258,24,62,38.70967741935484,46.39781066602029,44.26597642522823,19,phishing,2
61,3,11,27.27272727272727,58.35174699083807,37.7271810339764,1,password,2
379,35,93,37.634408602150536,54.412172539316174,48.65108327130949,14,phishing,2
718,69,69,100.0,24.073254731860583,84.69284163710907,13,password,0
348,30,80,37.5,69.43777132907488,37.986318316186164,19,wifi,2
224,18,53,33.9622641509434,75.10316394334298,30.218131587363068,10,social_engineering,2
138,11,17,64.70588235294117,34.15457093954552,71.61437592552045,2,social_engineering,1
559,53,56,94.64285714285714,9.04539299674829,94.25430507277161,16,phishing,0
395,38,44,86.36363636363636,15.315685454799771,79.89005169652029,11,phishing,0
769,73,87,83.9080459770115,24.176797944978965,83.96710266913763,20,phishing,0
908,89,90,98.88888888888889,13.884375581564719,89.53027065655196,14,wifi,0
197,18,45,40.0,56.737098859553605,44.471713760055195,15,password,2
380,38,59,64.40677966101694,38.91187701313574,53.30791237113389,4,wifi,1
143,13,13,100.0,3.8357024661923482,95.10540840993616,10,social_engineering,0
66,2,11,18.181818181818183,82.10744120587928,17.099724218159242,3,phishing,2
169,12,15,80.0,26.769919585402832,80.52135260505057,5,password,0
121,12,63,19.047619047619047,70.0543074122528,30.878656991502957,18,social_engineering,2
37,1,13,7.6923076923076925,77.2792708707025,20.328740108705684,8,social_engineering,2
318,27,63,42.857142857142854,74.52708467400366,35.00892189620953,4,social_engineering,2
619,57,72,79.16666666666666,22.818511414286412,69.3959004522399,2,wifi,0
219,19,27,70.37037037037037,36.89242087172574,61.55854769451315,0,phishing,1
947,91,99,91.91919191919192,10.102411818644185,80.73808168478392,5,social_engineering,0
73,7,53,13.20754716981132,92.47918974421279,12.318892671125829,14,phishing,2
400,40,43,93.02325581395348,15.20376993219896,93.15776111178405,1,wifi,0
387,38,83,45.78313253012048,47.89819575266588,47.70255083834391,2,social_engineering,1
28,0,71,0.0,100.0,6.1104862131604705,16,wifi,2
58,2,23,8.695652173913043,80.94821252862185,14.896152080616103,11,wifi,2
122,12,57,21.052631578947366,82.4292471596237,25.786156073254606,17,phishing,2
271,24,24,100.0,13.067351404723327,92.01188666721235,14,social_engineering,0
629,62,81,76.5432098765432,34.549979081664254,71.54815645516452,11,wifi,0
249,24,87,27.586206896551722,49.90332613047936,40.45680498152973,15,social_engineering,2
568,55,96,57.291666666666664,53.48360415003057,55.77260299144994,7,phishing,1
365,32,71,45.07042253521127,48.633921516771196,55.89949832463527,13,wifi,1
403,37,49,75.51020408163265,18.65835948751463,77.43666242020804,16,phishing,0
82,5,94,5.319148936170213,98.16236386109406,8.425529436082886,20,social_engineering,2
592,57,89,64.04494382022472,25.782564619240503,69.8478593490581,7,social_engineering,1
457,43,91,47.25274725274725,67.32555103141523,40.129525759907324,14,phishing,2
471,44,62,70.96774193548387,19.128420090027795,73.12318771821094,13,password,0
359,31,33,93.93939393939394,21.309738528169156,82.76398102104676,17,wifi,0
206,20,35,57.14285714285714,37.540197409711105,63.2737721231871,19,social_engineering,1
818,79,98,80.61224489795919,10.079759683392469,81.85092972051635,6,social_engineering,0
357,35,69,50.72463768115942,38.13965841789682,56.69821814727996,2,wifi,1
340,34,50,68.0,20.047471999405055,70.20060872614124,11,phishing,1
182,18,38,47.368421052631575,55.38703968522404,43.98831962406608,20,phishing,1
213,19,24,79.16666666666666,31.073586220841634,64.95171899435837,2,phishing,1
192,17,54,31.48148148148148,68.72236092546676,33.24478876048842,19,password,2
467,46,74,62.16216216216216,42.74453612471244,53.200220029459906,13,password,1
526,48,98,48.97959183673469,42.91568698270271,53.08269524743699,14,social_engineering,1
166,13,80,16.25,84.94186944387636,19.92199453075571,13,phishing,2
142,14,18,77.77777777777779,9.22843048014654,81.73442623942053,6,wifi,0
332,30,97,30.927835051546392,70.49619031569598,37.561709588143756,16,social_engineering,2
